lap_no,position,car_no,lap_time,lap_time_sec,gap
19,8,26,1:29.404,89.404,48.165
19,9,10,1:29.250,89.25,48.728
19,10,88,1:32.374,92.374,1 LAP
19,11,20,1:29.719,89.719,59.969
19,12,27,1:29.732,89.732,61.332
19,13,7,1:30.916,90.916,63.271
19,14,99,1:33.152,93.152,64.652
19,15,4,1:29.938,89.938,64.968
19,16,8,1:29.709,89.709,66.460
19,17,23,1:29.906,89.906,69.692
19,18,11,1:29.935,89.935,70.962
19,19,63,1:31.928,91.928,81.953
20,1,77,1:27.832,87.832,
20,2,3,1:30.027,90.027,1 LAP
20,3,33,1:28.757,88.757,14.150
20,4,16,1:28.733,88.733,24.517
20,5,44,1:29.334,89.334,33.030
20,6,5,1:29.227,89.227,34.418
20,7,18,1:29.234,89.234,48.082
20,8,26,1:29.452,89.452,49.785
20,9,10,1:29.474,89.474,50.370
20,10,88,1:32.339,92.339,1 LAP
20,11,20,1:29.251,89.251,61.388
20,12,27,1:29.539,89.539,63.039
20,13,7,1:30.110,90.11,65.549
20,14,99,1:31.351,91.351,68.171
20,15,4,1:31.492,91.492,68.628
20,16,8,1:30.662,90.662,69.290
20,17,23,1:30.037,90.037,71.897
20,18,11,1:30.020,90.02,73.150
20,19,63,1:31.645,91.645,85.766
21,1,77,1:27.815,87.815,
21,2,3,1:29.921,89.921,1 LAP
21,3,33,1:28.550,88.55,14.885
21,4,16,1:28.833,88.833,25.535
21,5,44,1:28.191,88.191,33.406
21,6,5,1:28.701,88.701,35.304
21,7,18,1:29.231,89.231,49.498
21,8,26,1:29.203,89.203,51.173
21,9,10,1:29.155,89.155,51.710
21,10,20,1:29.993,89.993,63.566
21,11,27,1:29.831,89.831,65.055
21,12,88,1:35.249,95.249,1 LAP
21,13,7,1:29.966,89.966,67.700
21,14,99,1:30.873,90.873,71.229
21,15,4,1:30.777,90.777,71.590
21,16,8,1:30.809,90.809,72.284
21,17,23,1:30.196,90.196,74.278
21,18,11,1:29.481,89.481,74.816
22,1,77,1:28.531,88.531,
22,2,63,1:33.069,93.069,1 LAP
22,3,3,1:30.464,90.464,1 LAP
22,4,33,1:28.598,88.598,14.952
22,5,16,1:28.905,88.905,25.909
22,6,44,1:28.666,88.666,33.541
22,7,5,1:28.514,88.514,35.287
22,8,18,1:29.290,89.29,50.257
22,9,26,1:29.575,89.575,52.217
22,10,10,1:29.675,89.675,52.854
22,11,20,1:29.368,89.368,64.403
22,12,27,1:29.594,89.594,66.118
22,13,7,1:29.926,89.926,69.095
22,14,88,1:34.511,94.511,1 LAP
