lap_no,position,driver_no,lap_time,lap_time_sec,gap
16,17,63,1:38.175,98.175,68.577
16,18,7,1:57.010,117.01,78.382
16,19,88,1:39.329,99.329,84.532
17,1,77,1:36.449,96.449,PIT
17,2,44,1:34.707,94.707,6.627
17,3,55,1:36.132,96.132,25.971
17,4,5,1:53.529,113.529,27.282
17,5,10,1:36.873,96.873,35.580
17,6,18,1:36.947,96.947,36.746
17,7,27,1:36.704,96.704,37.692
17,8,3,1:36.536,96.536,39.238
17,9,11,1:36.792,96.792,40.678
17,10,23,1:33.959,93.959,44.533
17,11,99,1:37.412,97.412,50.849
17,12,16,1:37.155,97.155,51.312
17,13,26,1:35.923,95.923,53.428
17,14,4,1:36.560,96.56,56.377
17,15,20,1:40.843,100.843,PIT
17,16,63,1:37.752,97.752,69.880
17,17,8,1:54.853,114.853,76.697
17,18,7,1:36.070,96.07,78.003
17,19,88,1:38.953,98.953,87.036
18,1,44,1:34.908,94.908,
18,2,77,1:51.522,111.522,9.987
18,3,5,1:34.110,94.11,19.857
18,4,55,1:37.100,97.1,21.536
18,5,27,1:37.024,97.024,33.181
18,6,10,1:39.231,99.231,PIT
18,7,3,1:36.807,96.807,34.510
18,8,18,1:39.403,99.403,PIT
18,9,11,1:36.785,96.785,35.928
18,10,23,1:34.437,94.437,37.435
18,11,16,1:35.660,95.66,45.437
18,12,26,1:36.519,96.519,48.412
18,13,99,1:40.740,100.74,PIT
18,14,4,1:36.083,96.083,50.925
18,15,63,1:37.437,97.437,65.782
18,16,8,1:34.988,94.988,70.150
18,17,7,1:36.031,96.031,72.499
18,18,20,1:56.677,116.677,73.125
18,19,88,1:39.205,99.205,84.706
19,1,44,1:35.223,95.223,
19,2,77,1:32.137,92.137,6.901
19,3,5,1:33.141,93.141,17.775
19,4,55,1:36.461,96.461,22.774
19,5,3,1:36.331,96.331,35.618
19,6,27,1:38.582,98.582,PIT
19,7,23,1:34.817,94.817,37.029
19,8,11,1:39.894,99.894,PIT
19,9,16,1:35.276,95.276,45.490
19,10,26,1:36.226,96.226,49.415
19,11,4,1:36.111,96.111,51.813
19,12,10,1:55.704,115.704,53.757
19,13,18,1:55.171,115.171,54.562
19,14,63,1:37.396,97.396,67.955
19,15,8,1:35.547,95.547,70.474
19,16,99,1:57.415,117.415,72.246
19,17,7,1:36.215,96.215,73.491
19,18,20,1:36.402,96.402,74.304
19,19,88,1:39.616,99.616,89.099
20,1,44,1:35.350,95.35,
20,2,77,1:32.689,92.689,4.240
20,3,5,1:33.020,93.02,15.445
20,4,55,1:36.180,96.18,23.604
20,5,3,1:36.046,96.046,36.314
20,6,23,1:34.942,94.942,36.621
20,7,16,1:35.193,95.193,45.333
20,8,26,1:36.032,96.032,50.097
20,9,4,1:35.848,95.848,52.311
20,10,10,1:35.554,95.554,53.961
20,11,18,1:35.622,95.622,54.834
20,12,27,1:56.138,116.138,57.328
20,13,11,1:54.627,114.627,59.876
20,14,63,1:37.027,97.027,69.632
20,15,8,1:35.660,95.66,70.784
20,16,99,1:35.504,95.504,72.400
20,17,7,1:36.362,96.362,74.503
20,18,20,1:36.347,96.347,75.301
20,19,88,1:39.245,99.245,92.994
21,1,77,1:32.957,92.957,
21,2,44,1:38.272,98.272,PIT
21,3,5,1:33.319,93.319,11.567
21,4,55,1:36.526,96.526,22.933
21,5,23,1:34.209,94.209,33.633
21,6,3,1:37.325,97.325,36.442
21,7,16,1:35.373,95.373,43.509
21,8,26,1:37.696,97.696,50.596
21,9,4,1:36.612,96.612,51.726
21,10,10,1:36.178,96.178,52.942
21,11,18,1:36.293,96.293,53.930
21,12,27,1:35.725,95.725,55.856
21,13,11,1:35.407,95.407,58.086
21,14,63,1:37.461,97.461,69.896
21,15,8,1:37.006,97.006,70.593
21,16,99,1:36.036,96.036,71.239
21,17,7,1:36.308,96.308,73.614
21,18,20,1:36.474,96.474,74.578
22,1,77,1:33.524,93.524,
22,2,88,1:40.732,100.732,1 LAP
22,3,5,1:33.519,93.519,11.562
22,4,44,1:53.893,113.893,21.444
22,5,55,1:37.029,97.029,26.438
22,6,23,1:34.714,94.714,34.823
22,7,3,1:36.721,96.721,39.639
22,8,16,1:35.332,95.332,45.317
22,9,26,1:36.605,96.605,53.677
22,10,4,1:36.552,96.552,54.754
22,11,10,1:36.372,96.372,55.790
22,12,18,1:36.246,96.246,56.652
22,13,27,1:35.799,95.799,58.131
22,14,11,1:35.573,95.573,60.135
22,15,63,1:37.449,97.449,73.821
22,16,8,1:37.385,97.385,74.454
22,17,99,1:37.115,97.115,74.830
22,18,7,1:36.417,96.417,76.507
22,19,20,1:36.806,96.806,77.860
23,1,77,1:33.210,93.21,
23,2,5,1:33.273,93.273,11.625
23,3,88,1:42.435,102.435,PIT
23,4,44,1:32.874,92.874,21.108
23,5,55,1:36.415,96.415,29.643
23,6,23,1:34.414,94.414,36.027
23,7,3,1:36.795,96.795,43.224
23,8,16,1:35.425,95.425,47.532
23,9,26,1:37.108,97.108,57.575
23,10,4,1:37.348,97.348,58.892
23,11,10,1:36.501,96.501,59.081
23,12,18,1:36.360,96.36,59.802
23,13,27,1:36.243,96.243,61.164
23,14,11,1:35.758,95.758,62.683
23,15,8,1:35.609,95.609,76.853
23,16,99,1:37.738,97.738,79.358
23,17,7,1:37.494,97.494,80.791
23,18,63,1:40.934,100.934,81.545
23,19,20,1:37.191,97.191,81.841
24,1,77,1:33.309,93.309,
24,2,5,1:33.386,93.386,11.702
24,3,44,1:32.763,92.763,20.562
24,4,55,1:36.693,96.693,33.027
24,5,23,1:34.386,94.386,37.104
24,6,88,2:03.231,123.231,1 LAP
24,7,3,1:36.570,96.57,46.485
24,8,16,1:35.980,95.98,50.203
24,9,26,1:36.988,96.988,61.254
24,10,10,1:35.979,95.979,61.751
24,11,4,1:37.777,97.777,63.360
24,12,18,1:37.205,97.205,63.698
24,13,27,1:36.130,96.13,63.985
24,14,11,1:35.559,95.559,64.933
24,15,8,1:36.795,96.795,80.339
24,16,99,1:36.100,96.1,82.149
24,17,7,1:36.436,96.436,83.918
24,18,20,1:36.545,96.545,85.077
24,19,63,1:39.143,99.143,87.379
25,1,77,1:33.513,93.513,
25,2,5,1:33.543,93.543,11.732
25,3,44,1:33.075,93.075,20.124
25,4,55,1:36.983,96.983,36.497
25,5,23,1:35.056,95.056,38.647
25,6,88,1:37.065,97.065,1 LAP
25,7,3,1:37.066,97.066,50.038
25,8,16,1:39.203,99.203,PIT
25,9,10,1:35.448,95.448,63.686
25,10,26,1:38.450,98.45,66.191
25,11,18,1:36.373,96.373,66.558
25,12,27,1:36.621,96.621,67.093
25,13,11,1:37.647,97.647,69.067
25,14,4,1:41.533,101.533,PIT
25,15,8,1:36.116,96.116,82.942
25,16,99,1:36.315,96.315,84.951
25,17,7,1:36.472,96.472,86.877
25,18,20,1:36.656,96.656,88.220
26,1,77,1:33.937,93.937,
26,2,63,1:40.548,100.548,PIT
26,3,5,1:33.537,93.537,11.332
26,4,44,1:33.175,93.175,19.362
26,5,23,1:34.940,94.94,39.650
26,6,55,1:40.522,100.522,PIT
26,7,88,1:37.742,97.742,1 LAP
26,8,3,1:37.431,97.431,53.532
26,9,10,1:35.386,95.386,65.135
26,10,18,1:34.713,94.713,67.334
26,11,26,1:38.486,98.486,70.740
26,12,27,1:37.673,97.673,70.829
26,13,11,1:36.044,96.044,71.174
26,14,16,1:53.364,113.364,75.320
26,15,8,1:35.749,95.749,84.754
26,16,99,1:36.106,96.106,87.120
26,17,7,1:36.061,96.061,89.001
26,18,20,1:36.431,96.431,90.714
27,1,77,1:34.002,94.002,
27,2,4,1:58.225,118.225,1 LAP
27,3,5,1:33.421,93.421,10.751
27,4,44,1:33.028,93.028,18.388
27,5,63,1:57.869,117.869,1 LAP
27,6,23,1:34.305,94.305,39.953
27,7,88,1:38.261,98.261,1 LAP
27,8,3,1:37.328,97.328,56.858
27,9,55,1:54.282,114.282,63.362
27,10,10,1:35.659,95.659,66.792
27,11,18,1:35.115,95.115,68.447
27,12,27,1:34.928,94.928,71.755
27,13,11,1:35.644,95.644,72.816
27,14,16,1:33.687,93.687,75.005
27,15,26,1:42.118,102.118,PIT
27,16,8,1:35.546,95.546,86.298
27,17,99,1:36.136,96.136,89.254
27,18,7,1:35.870,95.87,90.869
27,19,20,1:36.402,96.402,93.114
28,1,77,1:33.582,93.582,
28,2,4,1:34.756,94.756,1 LAP
28,3,5,1:33.699,93.699,10.868
28,4,44,1:32.824,92.824,17.630
28,5,63,1:35.458,95.458,1 LAP
28,6,23,1:34.406,94.406,40.777
28,7,88,1:38.277,98.277,1 LAP
28,8,3,1:37.491,97.491,60.767
28,9,55,1:34.646,94.646,64.426
28,10,10,1:35.464,95.464,68.674
28,11,18,1:35.322,95.322,70.187
28,12,27,1:35.096,95.096,73.269
28,13,11,1:35.017,95.017,74.251
28,14,16,1:33.973,93.973,75.396
28,15,8,1:35.773,95.773,88.489
28,16,99,1:35.971,95.971,91.643
29,1,77,1:33.420,93.42,
29,2,7,1:37.930,97.93,1 LAP
29,3,20,1:37.846,97.846,1 LAP
29,4,4,1:35.207,95.207,1 LAP
29,5,26,1:55.952,115.952,1 LAP
29,6,5,1:34.033,94.033,11.481
29,7,44,1:32.800,92.8,17.010
